Country Name,Country Code,Indicator Name,Indicator Code,Year,Population
Cambodia,KHM,"Population, total",SP.POP.TOTL,1960,5449966
Cambodia,KHM,"Population, total",SP.POP.TOTL,1961,5571168
Cambodia,KHM,"Population, total",SP.POP.TOTL,1962,5697558
Cambodia,KHM,"Population, total",SP.POP.TOTL,1963,5823010
Cambodia,KHM,"Population, total",SP.POP.TOTL,1964,5946178
Cambodia,KHM,"Population, total",SP.POP.TOTL,1965,6072289
Cambodia,KHM,"Population, total",SP.POP.TOTL,1966,6201232
Cambodia,KHM,"Population, total",SP.POP.TOTL,1967,6332944
Cambodia,KHM,"Population, total",SP.POP.TOTL,1968,6467324
Cambodia,KHM,"Population, total",SP.POP.TOTL,1969,6604725
Cambodia,KHM,"Population, total",SP.POP.TOTL,1970,6639182
Cambodia,KHM,"Population, total",SP.POP.TOTL,1971,6620880
Cambodia,KHM,"Population, total",SP.POP.TOTL,1972,6673886
Cambodia,KHM,"Population, total",SP.POP.TOTL,1973,6739726
Cambodia,KHM,"Population, total",SP.POP.TOTL,1974,6783240
Cambodia,KHM,"Population, total",SP.POP.TOTL,1975,6581371
Cambodia,KHM,"Population, total",SP.POP.TOTL,1976,6134991
Cambodia,KHM,"Population, total",SP.POP.TOTL,1977,5668551
Cambodia,KHM,"Population, total",SP.POP.TOTL,1978,5211653
Cambodia,KHM,"Population, total",SP.POP.TOTL,1979,5088808
Cambodia,KHM,"Population, total",SP.POP.TOTL,1980,5199872
Cambodia,KHM,"Population, total",SP.POP.TOTL,1981,5284495
Cambodia,KHM,"Population, total",SP.POP.TOTL,1982,5436432
Cambodia,KHM,"Population, total",SP.POP.TOTL,1983,5636203
Cambodia,KHM,"Population, total",SP.POP.TOTL,1984,5845117
Cambodia,KHM,"Population, total",SP.POP.TOTL,1985,6043783
Cambodia,KHM,"Population, total",SP.POP.TOTL,1986,6285693
Cambodia,KHM,"Population, total",SP.POP.TOTL,1987,6557970
Cambodia,KHM,"Population, total",SP.POP.TOTL,1988,6812014
Cambodia,KHM,"Population, total",SP.POP.TOTL,1989,7073473
Cambodia,KHM,"Population, total",SP.POP.TOTL,1990,7374752
Cambodia,KHM,"Population, total",SP.POP.TOTL,1991,7686850
Cambodia,KHM,"Population, total",SP.POP.TOTL,1992,8113083
Cambodia,KHM,"Population, total",SP.POP.TOTL,1993,8616381
Cambodia,KHM,"Population, total",SP.POP.TOTL,1994,9239162
Cambodia,KHM,"Population, total",SP.POP.TOTL,1995,10018497
Cambodia,KHM,"Population, total",SP.POP.TOTL,1996,10801270
Cambodia,KHM,"Population, total",SP.POP.TOTL,1997,11570982
Cambodia,KHM,"Population, total",SP.POP.TOTL,1998,12058173
Cambodia,KHM,"Population, total",SP.POP.TOTL,1999,12265731
Cambodia,KHM,"Population, total",SP.POP.TOTL,2000,12462336
Cambodia,KHM,"Population, total",SP.POP.TOTL,2001,12658484
Cambodia,KHM,"Population, total",SP.POP.TOTL,2002,12855241
Cambodia,KHM,"Population, total",SP.POP.TOTL,2003,13050968
Cambodia,KHM,"Population, total",SP.POP.TOTL,2004,13244731
Cambodia,KHM,"Population, total",SP.POP.TOTL,2005,13439202
Cambodia,KHM,"Population, total",SP.POP.TOTL,2006,13639028
Cambodia,KHM,"Population, total",SP.POP.TOTL,2007,13841770
Cambodia,KHM,"Population, total",SP.POP.TOTL,2008,14053479
Cambodia,KHM,"Population, total",SP.POP.TOTL,2009,14276810
Cambodia,KHM,"Population, total",SP.POP.TOTL,2010,14500726
Cambodia,KHM,"Population, total",SP.POP.TOTL,2011,14722584
Cambodia,KHM,"Population, total",SP.POP.TOTL,2012,14945085
Cambodia,KHM,"Population, total",SP.POP.TOTL,2013,15170208
Cambodia,KHM,"Population, total",SP.POP.TOTL,2014,15396772
Cambodia,KHM,"Population, total",SP.POP.TOTL,2015,15623251
Cambodia,KHM,"Population, total",SP.POP.TOTL,2016,15852803
Cambodia,KHM,"Population, total",SP.POP.TOTL,2017,16073372
Cambodia,KHM,"Population, total",SP.POP.TOTL,2018,16274522
Cambodia,KHM,"Population, total",SP.POP.TOTL,2019,16481304
Cambodia,KHM,"Population, total",SP.POP.TOTL,2020,16725474
Cambodia,KHM,"Population, total",SP.POP.TOTL,2021,16974305
Cambodia,KHM,"Population, total",SP.POP.TOTL,2022,17201724
Cambodia,KHM,"Population, total",SP.POP.TOTL,2023,17423880
